# Emission spectrum of  in ethanol
#
# Data from PhotochemCAD 2.1a has been munged on  2 June 2017 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by  on on 06-20-1995 
# using a Spex FluoroMax.   The excitation and emission monochromators were set at 1 mm, giving a spectral bandwidth of 4.25 nm.  The data interval was 0.5 nm and the integration time was 2.0 sec. Samples were prepared in 1cm pathlength quartz cells with absorbance less than 0.1 at the excitation and all emission wavelengths to uniformly illuminate across the sample, and to avoid the inner-filter effect.  The dark counts were subtracted and the spectra were corrected for wavelength-dependent instrument sensitivity.
#
##Wavelength (nm)	Emission (AU)
435	984
435.5	988
436	981
436.5	946
437	1006
437.5	1068
438	1191
438.5	1277
439	1257
439.5	1423
440	1464
440.5	1482
441	1502
441.5	1509
442	1485
442.5	1606
443	1629
443.5	1751
444	1577
444.5	1720
445	1712
445.5	1670
446	1720
446.5	1628
447	1751
447.5	1715
448	1694
448.5	1798
449	1935
449.5	2101
450	2212
450.5	2389
451	2561
451.5	2704
452	2789
452.5	2721
453	2796
453.5	2797
454	2815
454.5	2749
455	2913
455.5	2970
456	3142
456.5	3302
457	3557
457.5	3862
458	3957
458.5	4318
459	4573
459.5	5156
460	5208
460.5	5697
461	6063
461.5	6547
462	6927
462.5	7755
463	8544
463.5	9392
464	9904
464.5	10729
465	11855
465.5	13106
466	14106
466.5	15373
467	16810
467.5	19138
468	20254
468.5	22675
469	24914
469.5	28068
470	29856
470.5	33571
471	36522
471.5	41937
472	44832
472.5	50551
473	55276
473.5	62782
474	66986
474.5	76104
475	83015
475.5	94471
476	102160
476.5	114908
477	124603
477.5	142109
478	150469
478.5	170396
479	184951
479.5	210127
480	222315
480.5	246508
481	267766
481.5	298972
482	318623
482.5	350498
483	377857
483.5	418328
484	437395
484.5	474408
485	504713
485.5	546982
486	568936
486.5	612102
487	645685
487.5	694066
488	720476
488.5	766501
489	799467
489.5	851957
490	882392
490.5	930838
491	966208
491.5	1021645
492	1052054
492.5	1104241
493	1138822
493.5	1198781
494	1221297
494.5	1272355
